epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,252.949,0.37586,0.94666,1,0.17856,0.00333057,0.00333057,0.00333057
2,481.309,0.29319,0.92671,1,0.20106,0.00659793,0.00659793,0.00659793
3,709.764,0.31466,0.93142,1,0.22568,0.00979929,0.00979929,0.00979929
4,937.515,0.29798,0.95628,1,0.13687,0.009703,0.009703,0.009703
5,1167.04,0.25573,0.95646,1,0.13783,0.009604,0.009604,0.009604
6,1436.75,0.23963,0.95864,1,0.11532,0.009505,0.009505,0.009505
7,1663.76,0.2337,0.95737,1,0.13077,0.009406,0.009406,0.009406
8,1890.28,0.23013,0.957,1,0.12796,0.009307,0.009307,0.009307
9,2114.8,0.22608,0.95737,1,0.1246,0.009208,0.009208,0.009208
10,2342.5,0.20796,0.96263,1,0.11189,0.009109,0.009109,0.009109
11,2569.12,0.2111,0.96172,1,0.11203,0.00901,0.00901,0.00901
12,2795.07,0.2019,0.95972,1,0.11072,0.008911,0.008911,0.008911
13,3023.6,0.2073,0.96226,1,0.11001,0.008812,0.008812,0.008812
14,3250.3,0.20283,0.96154,1,0.1124,0.008713,0.008713,0.008713
15,3477.32,0.19711,0.96263,1,0.10079,0.008614,0.008614,0.008614
16,3704.99,0.20071,0.96825,1,0.09723,0.008515,0.008515,0.008515
17,3923.59,0.19768,0.96716,1,0.09981,0.008416,0.008416,0.008416
18,4145.08,0.19234,0.96372,1,0.10153,0.008317,0.008317,0.008317
19,4371.17,0.19061,0.96499,1,0.10029,0.008218,0.008218,0.008218
20,4595.65,0.18865,0.96843,1,0.09599,0.008119,0.008119,0.008119
21,4823.06,0.1932,0.96698,1,0.09514,0.00802,0.00802,0.00802
22,5043.67,0.19076,0.9697,1,0.09475,0.007921,0.007921,0.007921
23,5263.93,0.1889,0.96734,1,0.09882,0.007822,0.007822,0.007822
24,5482.9,0.18834,0.96807,1,0.09567,0.007723,0.007723,0.007723
25,5706.92,0.18161,0.96716,1,0.09574,0.007624,0.007624,0.007624
26,5927.8,0.18564,0.96662,1,0.09618,0.007525,0.007525,0.007525
27,6148.37,0.191,0.96807,1,0.09073,0.007426,0.007426,0.007426
28,6369.84,0.18054,0.96734,1,0.09091,0.007327,0.007327,0.007327
29,6588.25,0.18187,0.96825,1,0.09034,0.007228,0.007228,0.007228
30,6809.25,0.17802,0.9688,1,0.08822,0.007129,0.007129,0.007129
31,7028.34,0.17711,0.9688,1,0.08931,0.00703,0.00703,0.00703
32,7249.49,0.17756,0.96934,1,0.08733,0.006931,0.006931,0.006931
